Email Text,Label
Congratulations! You've won a $1000 gift card. Click here to claim now!,Phishing
Your account has been compromised. Please login and verify immediately.,Phishing
Meeting scheduled for 3PM tomorrow. Please review the agenda attached.,Legit
Urgent: Update your billing information to avoid service interruption.,Phishing
Thanks for your purchase. Your invoice is attached.,Legit
Win a brand new iPhone by completing this quick survey!,Phishing
Please find the project report attached. Let me know if you have feedback.,Legit
Verify your identity to avoid account suspension. Click here now.,Phishing
Looking forward to our coffee chat tomorrow!,Legit
Alert: Suspicious login attempt detected. Secure your account now.,Phishing
